,Price,Number of bedrooms,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Balcony,State of the property,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Number of showers,Number of facades,Surface terrace,Security door,Access for disabled,Sewer Connection,Surface garden,Garage,Brussels,Walloon Brabant,Flemish Brabant,Antwerp,Limburg,Liege,Namur,Hainaut,Luxembourg,West Flanders,East Flanders,Orientation South,Type property
48,239000,2,68,1,1,1,0,1,10,1,32,0,7,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
49,185000,1,39,2,1,1,0,1,6,1,23,0,4,1,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
50,240000,1,62,1,1,1,0,1,9,0,19,0,6,1,2,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,220000,1,60,1,1,1,0,0,23,0,42,1,7,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,449000,2,250,1,1,2,0,0,30,0,38,0,15,1,3,16,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
56,299000,3,105,2,1,2,0,1,15,0,31,0,11,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,200000,1,45,1,1,1,0,1,7,1,24,0,4,1,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,399000,3,128,2,2,1,0,1,18,0,38,0,13,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,520000,2,149,2,2,2,0,2,21,1,44,1,16,2,2,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,495000,2,167,2,2,2,0,2,23,0,49,1,18,2,2,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,165000,1,48,2,1,1,0,1,7,1,15,0,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,595000,5,202,0,1,2,0,0,24,0,30,1,8,1,2,8,0,0,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1
67,395000,1,124,1,2,2,0,2,27,0,45,1,13,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,429000,3,110,1,1,2,0,2,16,0,34,1,11,1,2,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,375000,2,91,2,1,2,0,1,13,0,27,0,9,1,2,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
70,840000,3,158,1,3,1,0,2,22,0,47,0,17,1,2,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,424000,3,125,1,1,1,0,0,17,0,34,0,13,1,2,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,265000,1,55,2,1,1,0,1,14,0,17,1,5,1,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,925000,3,190,2,3,3,0,2,20,0,50,1,12,1,3,135,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
76,440000,2,92,2,1,1,0,1,14,0,30,1,8,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77,390000,2,98,1,1,2,0,3,14,0,29,0,10,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,425000,1,96,2,1,1,0,2,30,0,35,1,10,1,2,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,850000,3,212,2,1,1,0,1,29,0,63,1,23,1,2,43,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80,499000,2,115,1,1,1,0,2,13,0,34,0,12,1,2,30,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
81,610000,3,132,1,2,1,0,1,18,0,39,0,14,1,2,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,380000,4,115,0,2,1,0,1,16,0,34,0,12,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
84,650000,8,210,2,1,3,0,1,29,0,62,0,22,2,2,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
85,500000,2,113,1,1,1,0,1,14,0,34,0,12,1,2,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
86,325000,2,113,1,1,1,0,1,16,0,34,0,12,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,245000,1,73,2,1,1,0,1,10,0,22,0,7,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,199000,2,73,1,1,1,0,2,10,0,25,0,7,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,210000,1,50,2,1,1,0,1,7,0,15,0,5,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
91,1400000,3,350,2,2,4,0,1,78,0,60,0,15,1,2,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,325000,2,85,1,1,1,0,1,14,0,25,1,9,1,2,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
93,160000,1,38,2,1,1,1,1,6,1,12,0,4,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,225000,1,60,1,1,1,0,1,9,1,30,0,6,1,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,249000,1,75,1,1,1,0,1,11,0,40,0,8,1,2,30,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97,249000,1,75,1,1,1,0,1,11,0,40,0,8,1,2,30,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,420000,2,110,1,1,1,0,2,13,0,33,0,11,1,2,25,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101,195000,1,66,1,1,1,0,2,15,0,20,0,7,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,230000,3,90,2,1,1,0,1,13,0,27,0,9,1,2,20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,569000,3,123,1,1,1,0,2,20,0,30,0,13,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
105,230000,1,55,2,1,1,0,1,15,1,26,1,4,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,555000,4,385,1,2,1,0,0,22,0,18,0,7,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
107,895000,4,202,1,4,2,0,1,28,1,60,0,22,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,549000,2,250,2,1,3,0,1,10,0,74,0,27,1,2,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
109,490000,3,150,1,3,1,0,0,10,0,10,0,16,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
110,405000,2,98,1,1,1,0,2,18,0,34,1,8,1,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,244000,2,71,1,1,1,0,1,10,1,29,0,7,1,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
112,765000,3,170,2,2,3,0,1,21,0,35,0,18,1,2,55,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,275000,2,80,2,1,1,0,2,11,0,25,0,8,1,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,330000,2,110,0,1,1,0,1,16,0,33,0,11,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,185000,1,33,2,1,1,0,1,5,1,10,0,3,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
116,255000,2,80,2,1,1,0,1,11,0,24,0,8,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
