,Price,Number of bedrooms,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Balcony,State of the property,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Number of showers,Number of facades,Surface terrace,Security door,Access for disabled,Sewer Connection,Surface garden,Garage,Brussels,Walloon Brabant,Flemish Brabant,Antwerp,Limburg,Liege,Namur,Hainaut,Luxembourg,West Flanders,East Flanders,Orientation South,Type property
3689,488193,2,128,1,2,1,0,1,18,0,38,0,13,1,2,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3690,229750,1,62,1,1,1,0,3,12,0,25,0,6,1,2,7,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3692,169000,1,60,1,1,1,0,1,14,0,26,1,7,1,2,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3693,750000,5,250,1,2,3,0,1,34,0,52,0,27,1,4,56,0,0,1,2000,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3694,450000,3,136,2,2,2,0,1,19,0,34,0,14,1,2,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3696,481364,2,144,1,2,2,0,3,20,0,43,0,15,1,2,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3697,411631,2,104,1,1,2,0,3,15,0,31,0,11,1,2,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3698,480000,3,140,1,2,2,0,3,19,0,42,0,15,1,3,29,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3699,403375,2,109,1,1,2,0,3,15,0,32,0,11,1,3,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3700,286650,1,74,1,1,1,0,3,11,0,22,0,8,1,3,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3701,261800,1,69,1,1,1,0,3,10,0,21,0,7,1,2,16,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3702,291725,1,76,1,1,1,0,3,11,0,23,0,8,1,2,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3703,284240,2,75,1,1,1,0,3,11,0,22,0,8,1,3,16,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3704,379000,3,209,1,1,1,0,1,29,0,62,1,22,1,2,0,0,0,1,65,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3705,349500,2,150,1,1,2,0,1,26,0,44,0,16,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3706,185000,4,137,1,1,2,0,1,15,0,19,1,9,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3708,592450,5,210,1,2,2,0,1,26,0,44,0,13,2,3,33,0,1,1,400,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3709,445000,3,225,1,1,2,0,3,20,0,55,0,24,1,3,15,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3710,235000,1,90,1,1,1,0,2,19,0,31,0,9,1,2,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3711,318847,2,82,1,1,1,0,3,12,0,25,0,8,1,2,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3712,195000,2,75,1,1,1,0,2,9,0,24,0,8,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3713,160000,1,53,1,1,1,0,2,12,0,21,0,5,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3714,178000,1,53,1,1,1,0,2,12,0,21,0,5,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3715,175000,2,75,1,1,1,0,2,9,0,24,0,8,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3716,346800,3,98,1,1,1,0,3,14,0,29,0,10,1,3,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3717,302457,2,97,1,1,1,0,3,14,0,29,0,10,1,2,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3718,290688,2,98,1,1,1,0,3,14,0,29,0,10,1,2,8,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3719,293794,2,96,1,1,1,0,3,14,0,29,0,10,1,2,6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3720,339000,3,105,2,2,2,0,1,15,0,35,0,11,1,2,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3722,329000,3,160,1,1,3,0,0,14,0,32,0,17,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3723,395000,2,155,2,1,2,0,1,22,0,40,0,16,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3724,585314,3,190,2,1,2,0,3,26,0,56,0,20,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3725,574828,3,188,2,1,2,0,3,26,0,56,0,20,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3726,210000,2,85,2,1,1,0,1,12,0,40,0,9,1,4,17,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3727,389055,3,190,1,1,1,0,3,26,0,56,0,20,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3729,185000,2,85,1,1,1,0,1,12,0,24,1,8,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3730,520000,5,200,2,2,2,0,2,24,0,35,1,11,2,4,28,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3731,249500,2,109,1,1,1,0,0,15,0,32,1,11,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3732,219000,3,106,1,1,1,0,2,17,0,35,1,11,1,2,19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3735,489000,3,220,1,1,2,0,2,18,0,52,1,9,1,4,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3737,230000,2,95,1,1,1,0,0,17,0,28,0,10,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3739,290000,3,200,1,1,1,0,1,28,0,59,0,21,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3740,570000,3,149,1,1,1,0,3,21,0,44,0,16,1,2,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3741,620000,3,163,1,1,1,0,3,23,0,48,0,17,1,2,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3742,393000,2,118,1,1,1,0,3,17,0,35,0,12,1,2,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3743,317000,2,96,1,1,1,0,3,14,0,29,0,10,1,2,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3744,560000,3,147,1,1,1,0,3,20,0,44,0,16,1,2,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3745,595000,3,255,2,2,3,0,2,35,0,34,1,8,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3746,569000,4,272,2,2,2,0,1,17,0,45,1,14,1,4,82,0,0,1,1782,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3747,589000,3,382,2,2,2,0,1,14,0,46,1,15,1,4,0,0,0,1,450,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3748,525000,2,183,2,2,2,0,2,25,0,45,1,17,1,4,40,0,0,0,140,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3749,549000,4,230,1,1,2,0,2,16,0,37,1,25,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3750,255900,2,86,2,1,1,0,3,13,0,26,0,9,1,3,8,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3751,209900,1,67,2,1,1,0,3,14,0,20,0,7,1,3,8,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3752,259900,2,86,2,1,1,0,3,12,0,26,1,9,1,2,16,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3754,289000,3,120,1,1,1,0,1,16,0,24,1,18,1,2,13,0,0,1,65,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3755,289000,4,155,1,1,2,0,0,13,0,30,1,11,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3756,425000,4,165,1,1,2,0,2,11,0,25,1,10,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3757,290000,2,170,1,1,1,0,2,14,0,33,0,23,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3759,375000,2,165,2,1,2,0,1,23,0,30,0,15,1,2,18,0,0,0,65,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3760,499000,3,455,2,1,4,1,1,22,0,27,1,23,1,2,0,0,0,1,65,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3761,460000,3,235,1,1,2,0,1,17,0,33,0,25,1,3,15,0,0,1,100,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3762,199000,2,55,1,1,1,0,2,8,0,15,0,8,1,3,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3763,199000,2,75,1,1,1,0,2,14,0,25,1,7,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3765,379000,3,132,1,1,2,0,2,12,0,23,0,14,1,4,0,0,0,1,100,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3766,582328,3,166,1,1,2,0,3,23,0,49,0,18,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3767,597993,3,160,1,1,2,0,3,22,0,47,0,17,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3769,749000,5,723,2,1,4,0,1,20,0,35,1,16,1,2,50,0,0,1,270,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3770,581989,3,170,2,1,1,0,3,24,0,50,0,18,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3771,397600,3,150,2,1,3,0,1,21,0,44,0,16,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3772,261750,2,81,1,1,1,0,3,11,0,24,0,8,1,3,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3773,199000,2,78,1,1,1,0,3,11,0,23,0,8,1,2,6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3774,132000,1,50,1,1,1,0,3,7,0,15,0,5,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3778,225000,2,73,1,1,1,0,1,10,0,22,0,7,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3779,307300,2,108,2,1,1,0,3,15,0,32,1,11,1,2,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3780,228000,1,72,2,1,1,0,3,10,0,22,1,7,1,2,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3781,266700,2,90,2,1,1,0,3,13,0,27,1,9,1,2,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3782,225000,2,80,1,1,1,1,1,11,0,24,0,8,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3783,277900,2,99,2,1,1,0,3,12,0,45,0,10,1,2,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3784,219900,1,67,2,1,1,0,3,14,0,20,0,7,1,3,9,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3785,219900,1,72,2,1,1,0,3,14,0,22,0,7,1,3,7,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3786,215900,1,67,2,1,1,0,3,14,0,20,0,7,1,3,9,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3787,215900,1,71,2,1,1,0,3,14,0,21,0,7,1,3,7,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3788,269900,2,85,2,1,1,0,3,12,0,25,1,9,1,2,16,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3789,282900,2,88,2,1,1,0,3,12,0,26,1,9,1,2,16,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3790,282900,2,94,2,1,1,0,3,13,0,28,1,10,1,2,15,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3791,262900,2,86,2,1,1,0,3,12,0,26,1,9,1,2,7,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3792,204900,1,64,2,1,1,0,3,9,0,19,1,6,1,2,11,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3793,259900,2,88,2,1,1,0,3,12,0,26,1,9,1,2,6,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3794,274900,2,94,2,1,1,0,3,13,0,28,1,10,1,2,15,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3795,274900,2,88,2,1,1,0,3,14,0,26,1,9,1,2,16,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3796,283500,2,94,1,1,1,0,3,13,0,35,0,10,1,2,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3797,169000,1,52,2,1,1,0,3,12,0,15,0,4,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3798,457040,3,153,2,2,2,0,3,14,0,53,0,16,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3799,455640,3,154,2,2,2,0,3,14,0,53,0,16,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3800,439000,2,133,2,1,2,0,3,19,0,35,0,14,1,2,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3801,229000,2,75,1,1,1,0,1,13,0,25,0,10,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3802,254950,1,70,2,1,1,0,3,10,0,28,0,7,1,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3803,293750,2,82,2,1,1,0,3,12,0,23,0,6,1,2,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3804,297750,2,82,2,1,1,0,3,12,0,23,0,6,1,2,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3805,249500,1,70,2,1,1,0,3,10,0,28,0,7,1,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3806,289500,2,82,2,1,1,0,3,12,0,23,0,6,1,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3807,289500,2,82,2,1,1,0,3,12,0,22,0,6,1,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3808,230000,2,85,2,1,1,0,3,25,0,31,1,9,1,2,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3810,395000,3,101,2,2,2,0,1,14,0,29,0,11,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3811,1475000,3,356,2,2,3,0,1,12,0,45,1,14,2,4,50,1,1,1,2500,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3812,245000,2,90,1,1,1,0,2,12,0,35,0,12,1,2,20,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3813,289000,2,85,2,1,1,0,2,13,0,30,1,5,1,2,5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3814,269000,2,106,2,1,1,0,1,13,0,33,1,8,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3815,229000,2,74,1,1,1,0,2,12,0,24,1,7,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3816,149000,2,72,1,1,1,0,1,9,0,31,1,7,1,2,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3817,399000,3,159,1,1,1,0,1,15,0,52,0,17,1,4,35,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3818,265000,2,100,1,1,1,0,1,14,0,17,0,11,1,2,0,0,0,0,65,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3820,395000,3,140,2,1,1,0,2,10,0,34,0,13,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3821,880000,4,437,1,2,5,0,1,17,0,33,0,20,2,4,100,1,1,1,1560,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3822,399995,2,120,1,1,1,0,3,17,0,36,0,13,1,3,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3823,375000,3,125,1,1,1,0,3,17,0,37,0,13,1,2,0,0,0,1,61,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3825,525000,3,240,1,1,2,0,2,19,0,50,0,26,1,4,20,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3826,325000,3,115,2,1,1,0,2,14,0,34,0,11,1,3,0,0,0,1,65,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3827,339000,4,225,2,1,2,0,0,31,0,66,0,24,1,3,23,0,0,1,151,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3828,475000,3,150,1,1,2,0,2,12,0,29,0,16,1,4,0,0,0,1,290,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3829,345000,3,161,2,2,2,0,2,25,0,48,0,17,2,3,0,0,0,1,242,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3830,880000,4,437,1,2,5,0,1,17,0,33,0,20,2,4,100,1,1,1,1560,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3831,249000,4,160,1,1,1,0,0,17,0,21,0,17,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3832,460629,4,141,1,1,2,0,3,20,0,42,0,15,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3833,289000,3,180,1,1,2,0,1,14,0,39,0,19,1,3,25,0,0,1,600,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3834,495000,3,240,2,2,2,0,2,33,0,71,0,26,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3837,345000,3,241,1,1,2,0,2,17,0,58,0,26,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3838,399995,2,120,1,1,1,0,3,17,0,36,0,13,1,3,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3839,375000,3,125,1,1,1,0,3,17,0,37,0,13,1,2,0,0,0,1,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3842,379000,3,170,1,1,1,0,1,8,0,32,1,17,1,2,0,0,0,1,65,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3844,510000,3,170,2,1,2,0,1,17,0,45,0,17,1,4,25,0,1,1,337,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3845,240000,2,100,2,1,1,0,1,14,0,36,0,10,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3846,349000,2,136,1,1,2,0,2,17,0,33,0,14,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3848,387525,3,170,2,1,2,0,3,24,0,50,0,18,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3851,299000,3,135,2,1,1,0,2,13,0,25,0,7,1,2,16,0,0,1,60,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3852,349000,4,200,1,1,2,0,2,19,0,40,1,17,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3853,415154,3,133,1,1,1,0,3,19,0,39,0,14,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3857,670000,4,235,2,1,3,0,1,32,0,42,0,25,1,4,30,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3858,420000,3,196,2,1,2,0,2,11,0,58,0,21,1,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3859,329000,3,180,1,1,2,0,1,25,0,53,0,19,1,4,30,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3861,536949,3,170,1,1,2,0,3,24,0,50,0,18,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3862,325000,3,150,1,1,1,0,1,21,0,44,0,16,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3863,394900,3,158,1,1,2,0,3,22,0,47,0,17,1,2,0,0,0,1,121,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3864,310000,3,132,1,1,1,0,0,18,0,33,0,14,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3867,298000,3,167,2,1,1,0,1,23,0,49,1,18,1,2,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3868,380850,4,201,1,2,2,0,3,9,0,53,0,21,1,3,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3869,369675,4,217,1,1,1,0,3,30,0,64,0,23,1,3,19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3870,378950,3,172,1,1,2,0,3,14,0,55,0,18,2,3,20,0,0,1,120,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3871,555000,3,220,2,1,1,0,1,30,0,65,1,23,1,4,8,0,0,1,65,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3872,438000,4,215,1,1,1,0,1,17,0,32,1,23,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3875,189000,3,180,1,1,1,0,0,15,0,32,0,19,1,2,40,0,0,1,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3877,387000,4,200,2,1,1,0,1,11,0,40,0,18,1,4,25,0,0,1,730,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3878,725000,6,530,2,2,4,0,1,23,0,74,1,20,1,4,0,0,0,1,457,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3879,209000,2,126,0,1,1,0,0,18,0,32,0,13,1,3,5,0,0,1,285,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3880,329000,5,170,1,1,1,0,1,24,0,50,0,18,1,3,0,0,0,1,400,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3882,225850,2,80,2,1,2,0,3,11,0,28,0,8,1,2,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3883,278000,2,99,2,1,2,0,3,14,0,42,0,10,1,2,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3884,266250,2,95,2,1,2,0,3,13,0,37,0,10,1,2,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3886,995000,6,530,2,2,4,0,1,23,0,74,1,20,1,4,0,0,0,1,457,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3887,475000,3,221,1,1,3,0,1,30,0,63,0,24,2,4,12,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3888,495000,4,244,1,2,2,0,2,18,0,43,1,26,2,4,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3889,249700,2,83,2,1,1,0,3,12,0,42,0,9,1,2,0,0,0,1,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3890,125000,2,120,1,1,1,0,1,14,0,25,0,13,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3891,395000,3,160,2,1,1,0,1,22,0,44,0,17,1,3,0,0,0,1,375,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3892,310000,3,182,1,1,2,0,2,20,0,43,0,19,1,3,30,0,0,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3893,245000,3,162,1,1,1,0,1,22,0,15,0,17,1,2,8,0,0,1,65,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3894,325000,4,142,2,1,2,0,3,20,0,23,0,15,1,3,16,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3895,356324,3,231,2,1,1,0,3,32,0,68,0,25,1,3,0,0,0,1,65,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3896,319000,4,145,1,1,1,0,1,20,0,33,0,15,1,3,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3897,290000,4,148,1,1,1,0,1,21,0,44,0,16,1,2,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3898,385000,3,181,1,1,1,0,2,18,0,29,0,19,1,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3899,265000,3,127,2,1,1,0,2,18,0,32,0,13,1,2,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3900,260000,4,110,2,1,1,0,1,13,0,35,0,12,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3901,365000,4,216,1,1,2,0,1,16,0,32,0,23,1,2,32,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3904,280000,4,148,2,2,1,0,1,21,0,44,0,16,1,2,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3905,337000,2,177,2,1,1,0,3,25,0,40,0,19,1,3,28,0,0,1,149,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3906,297500,2,105,1,1,1,1,3,15,0,56,1,11,1,2,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3907,524000,3,103,1,2,1,0,3,14,0,31,0,11,1,3,53,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3909,385000,2,221,1,2,2,0,1,18,0,27,0,24,1,3,21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3911,379000,3,145,2,1,2,0,0,20,0,43,0,15,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3912,175000,3,100,1,1,1,0,0,12,0,30,1,9,1,2,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3914,770000,3,218,2,2,2,0,1,23,0,64,1,23,2,2,20,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3916,768000,3,220,2,2,3,0,1,22,0,45,1,14,2,3,12,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3918,595000,3,180,1,1,3,0,1,25,0,36,0,19,2,2,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3921,497000,3,150,1,1,2,0,1,21,0,48,0,16,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3922,595000,4,250,1,1,2,0,0,15,0,74,1,7,1,4,8,0,0,1,65,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3923,499000,3,170,2,2,2,0,1,18,0,44,0,23,1,2,60,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3924,265000,2,85,2,1,1,0,2,10,0,25,0,5,1,2,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3925,325000,3,139,1,1,2,0,1,18,0,50,0,15,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3926,319000,3,139,1,1,2,0,1,18,0,50,0,15,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
